element_id,xx_case1,xx_case2,xy_case1,xy_case2,yy_case1,yy_case2,axial_case1,axial_case2
1,-55.333267211914,-20.322380065918,28.348114013672,120.600196838379,18.077404022217,5.88707113266,0.0,0.0
2,-68.321914672852,-22.479034423828,30.862339019775,121.859390258789,19.610721588135,6.451919555664,0.0,0.0
3,-54.166450500488,-15.708924293518,33.140247344971,122.179351806641,18.112216949463,6.022660732269,0.0,0.0
4,-74.140899658203,-24.032520294189,32.505912780762,120.717987060547,17.03737449646,5.612620353699,0.0,0.0
5,-70.660079956055,-23.248390197754,30.885543823242,121.950866699219,21.727266311646,7.149203300476,0.0,0.0
6,-74.340202331543,-24.824464797974,28.290342330933,119.330467224121,17.03569984436,5.599840164185,0.0,0.0
7,-73.397705078125,-24.186866760254,30.251991271973,120.340530395508,18.274616241455,5.999265193939,0.0,0.0
8,-74.087829589844,-24.377498626709,30.90220451355,122.012710571289,19.241691589355,6.331289291382,0.0,0.0
9,-73.376281738281,-24.106288909912,30.746206283569,120.502532958984,18.283462524414,6.028422355652,0.0,0.0
10,-73.471206665039,-24.174468994141,31.407741546631,120.734146118164,18.567920684814,6.116710662842,0.0,0.0
11,-73.493240356445,-24.182025909424,30.906219482422,122.028114318848,18.666801452637,6.141645431519,0.0,0.0
12,-73.471115112305,-24.172950744629,29.597681045532,120.138557434082,18.565132141113,6.101001739502,0.0,0.0
13,-73.295989990234,-24.117723464966,29.726165771484,120.177238464355,18.611318588257,6.11342716217,0.0,0.0
14,-73.164886474609,-24.073312759399,30.905773162842,122.026893615723,18.570892333984,6.11021900177,0.0,0.0
15,-73.295684814453,-24.115345001221,31.277610778809,120.688201904297,18.617702484131,6.136034011841,0.0,0.0
16,-73.273315429688,-24.105842590332,31.445278167725,120.743377685547,18.694272994995,6.160285949707,0.0,0.0
17,-73.020416259766,-24.025945663452,30.9049949646,122.024337768555,18.41641998291,6.05953502655,0.0,0.0
18,-73.275314331055,-24.113483428955,29.558689117432,120.122817993164,18.689254760742,6.139994621277,0.0,0.0
19,-73.454315185547,-24.16609954834,29.767021179199,120.202651977539,18.873802185059,6.198328971863,0.0,0.0
20,-74.049468994141,-24.364772796631,30.903099060059,122.017395019531,18.046146392822,5.937718868256,0.0,0.0
21,-73.456199645996,-24.172449111938,31.243101119995,120.6884765625,18.879974365234,6.223603248596,0.0,0.0
22,-75.761856079102,-24.906940460205,29.96817779541,120.616752624512,18.236572265625,5.994955539703,0.0,0.0
23,-77.003746032715,-25.336894989014,30.947803497314,122.193969726563,19.324045181274,6.358215332031,0.0,0.0
24,-75.773788452148,-24.953531265259,31.23401260376,121.033401489258,18.239351272583,6.006789207458,0.0,0.0
25,-79.67724609375,-26.594955444336,28.243133544922,120.009033203125,16.307069778442,5.361457824707,0.0,0.0
26,-74.72681427002,-24.587606430054,30.991092681885,122.365020751953,23.183666229248,7.628169059753,0.0,0.0
27,-79.467819213867,-25.769050598145,32.936798095703,121.553298950195,16.309253692627,5.370406150818,0.0,0.0
28,-56.423980712891,-16.48218536377,33.978927612305,122.800903320313,17.728090286255,5.905274391174,0.0,0.0
29,-70.591957092285,-23.22700881958,30.914207458496,122.061248779297,20.383642196655,6.706832885742,0.0,0.0
30,-57.57487487793,-21.026588439941,27.701047897339,120.735282897949,17.688179016113,5.747671604156,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,-77.106147766113,-24.57165145874
38,0.0,0.0,0.0,0.0,0.0,0.0,-69.912200927734,-23.004989624023
39,0.0,0.0,0.0,0.0,0.0,0.0,-77.544250488281,-26.304050445557
40,0.0,0.0,0.0,0.0,0.0,0.0,-79.134490966797,-26.089017868042
