component,count,cross_section_area_mm2,length_mm,volume_each_mm3,total_volume_mm3,density_tonne_per_mm3,mass_kg
skin_panel_1,1,1000.0,600.0,600000.0,600000.0,2.7e-09,1.62
skin_panel_2,1,1000.0,600.0,600000.0,600000.0,2.7e-09,1.62
skin_panel_3,1,1000.0,600.0,600000.0,600000.0,2.7e-09,1.62
skin_panel_4,1,1000.0,600.0,600000.0,600000.0,2.7e-09,1.62
skin_panel_5,1,1000.0,600.0,600000.0,600000.0,2.7e-09,1.62
skin_panel_6,1,1000.0,600.0,600000.0,600000.0,2.7e-09,1.62
skin_panel_7,1,1000.0,600.0,600000.0,600000.0,2.7e-09,1.62
skin_panel_8,1,1000.0,600.0,600000.0,600000.0,2.7e-09,1.62
skin_panel_9,1,1000.0,600.0,600000.0,600000.0,2.7e-09,1.62
skin_panel_10,1,1000.0,600.0,600000.0,600000.0,2.7e-09,1.62
t_stringer,4,276.9,600.0,166140.0,664560.0,2.7e-09,1.7943120000000001
omega_stringer,5,242.88,600.0,145728.0,728640.0,2.7e-09,1.967328
TOTAL,19,,,,7393200.0,2.7e-09,19.961640000000003
